Ciudad, Población,Parques, Museos, Otros,Lugares de comida,Gasolineras
Akiruno,81475,Akigawabashi Kasen Park Barbecue Land-Akirudai Park-Toritsu Komine Park-Riverside Park-Ichinogaya, Fukasawa Chiisana Museum-Itsukaichi Kyodokan-Ninomiya Archaeological Museum, Akigawa Valley-Akigawa International Trout Fishing Ground-Mitsugo Limestone Cave-Yozawa Fishing Island-Ishibine-Akigawa Sandwich Rock,Kurochaya,ENEOS Akiruno Interchange Service Station
Akishima,112447,Memorial Shōwa Park,Akishima Showa no Mori Junkyu Muto Sculture Museum-Furniture Museum,Acueducto Tamagawa,Medaka Tantan-Tendon Tenya Akishima Mori Town-Sojibo Akishima Mori Town-Gokoku Akishima,ENEOS Enejet Shin-Ene Akishima Service Station
Chōfu,210428,Jindai Botanical Park-Keio Floral Garden Ange-Saneatsu Park,Centro Aeroespacial de Chofu,Aeropuerto de Chofu-Estadio Ajinomoto-Yomiuriland-Templo Jindaiji,Yuyake Hanten-Jindaiji Ameya,ENEOS Oburi Station Chofu Filling Station
Fuchū,255112,Parque Forestal de Fuchū-Parque Musashi-Parque Monte Sengen-Parque Nogawa,Fuchū City Local Forest Museum-Grusato Fuchū History Museum-Fuchū Art Museum,Santuario Ono-Cementerio de Tama-Hipódromo de Tokio,Fuchū Terrace-Sizzler Fuchū-Yusui,No hay
Fussa,59839,Parque Tamagawaryokuchifussaminami,Fussa Kyodo Shiryoshitsu-Fussa Petit Gallery,Base Aérea de Yokota (EEUU),Dana Chula-NanbeiShokudō,Auto Inn Fussa-Eneosu fussasa
Hachiōji,565695,Parque Fujimori-Parque Nacional Meiji no Mori Takao Quasi,Museo de Arte Hachioji Yume-Murauchi Art Museum,Monte Takao-Monte Jinba-Cementerio Imperial Musashi,Ramen Jiro Hachioji Yaen Kaido 2-Niboshi Iwashi Ramen En,Eneos EneJet Tama Newtown Filling Station-ENEOS Self Hachiōji Service Station-Showa Shell Sekiyu Hachiojiminamino Filling Station
Hamura,57174,Parque Acuático Hamura-Parque Zoológico de Hamura,Museo Hamurashi Kyodo, Acueducto del río Tama,Isamuchan-Kouranhanten,ENEOS Dr.Drive-Aporo do
Higashikurume,116039,Parque Forestal de Bambú,Museo de Ciencia Tamarokuto y Museo Nacional de la Enfermedad de Hansen,Río Kurome,Iruca Tokyo-Washoku Sato Higashi Kurume,Cosmo Oil Hanbai-ENEOS ōi
Higashimurayama,115283,Parque Kitayama- Parque Higashimurayama Chuo,Museo Histórico Higashimurayama Furusato,Santuario Akitsu,Kitchen Rosso-Long Standing Yakitori,Kakonbinikurabukitatamajidosha-ENEOS Frontier Shinakitsu Filling Station
Higashiyamato,82140,Parque Higashiyamato Sur-Parque Maruyama,Museo Nacional de Kioto,Santuario Yasaka-Kiyomizu dera,Kiwamiya-Manhokutei-Shozui Higashi Yamato, Esso-Cosmo-ENEOS Gas Station Higashiyamato
Hino,171309,Parque Keio Mogusaen-Parque Central de Asahigaoka,Museo Hijikata Toshizo-Museo de Historia Shinsengumi,Tama Zoo-Templo Budista,Sansar-Hino Oishi,ENEOS Hino Service Station-ENEOS Hino Manganji Service Station
Inagi,84072,Parque Shiroyama-Parque Miharashi Ruokuchi-Parque Central de Inagi,Museo Kyodo No Mori,Santuario Aoi-Santuario Tate-Santuario Anazawaten,No hay restaurantes populares,No hay
Kiyose,73601,Parque Kiyose Kanayama Green-Parque Kiyose Seseragi,Museo Ciudad Kiyose,Granja Sunflower Kiyose-Nakazato no Fujizuka,Gusto Kiyose-Sushi Kiyose,ENEOS Kiyose Service Station
Kodaira,181560,Parque Central de la Ciudad de Kodaira,Museo de Arte Hirakushi Denchu-Museo de Arte Bridgestone,Kodaira Furusatovillage-Tokyo Medicobotanical Garden,Roti Ya-Niku No Mansei Kodaira-Bisutoria,Showa Shell Oil Self Koganeibashi- ENEOS EneJet Kumegawa Newtown Service Staiton
Konagei,117147,Parque Konagei-Parque Musashino-Parque Nogawa,Museo de Arte Hakenomori de Koganei,Koganei City Cultural Property Center,Koganei City Cultural Property Center,Koganei Country Club-Restaurante de Comida Marina Japonesa Konagei,IDEMITSU Sakura Koganei Service Station-Kosumosu
Kokubunji,116039,Parque Musashi Kokubunji,Museo Arquitectónico al Aire Libre de Edo,Templo histórico Musashi Kokubunji,Cocina Izakaya-Lighthouse Kokubunji,Mobil Kokubunji Service Station- Eneos EOS Koigakubo Service Station-ENEOS Kokubunji South Station
Komae,78436,Parque Nishigawara,No hay, Disneyland Tokio-Palacio Imperial de Tokio, Koame Saigon-Sushi Takahashi, 7 ELEVEN Komae Komaimachi 3 Chōme Shop
Kunitachi,73865,Parque Joyama-Parque Mamakayusui-Parque Yaho Daiichi,Chika ba, Tsukiji Gindako-NHK Academy,Nakin Tei Kunitachi-Café de Komeda-Katsuya Kunitachi Fuchu Inter Shop,Eneos Kunitachifuchu Inter SS- Esso Kunitachi SS- Mobil Rubbing Plaza Filling Station
Machida,414508,Parque Ardilla-Parque Serigaya-Parque Yakushi ike-Parque Noduta,Museo de la Ciudad-Museo de los Movimientos Democráticos-Museo de Arqueología,Hotel BestWestern Rembrandt Machida,Sushiro Kamitsuruma-Mouko Tanmen Nakamoto,ENEOS Machida-Esso Sagamihara East Filling Station
Mitaka,175995,Parque Nogawa-Parque Shinkawamaruike-Otozaka Bridge,Museo Ghibli-Museo Yuzo Yamamoto Memorial,GEO-Campo de Baseball Inokashira-Campo Osawanogawa,Kappa Sushi-Ramen Karikiya-Hamazushi-Hamazushi,Showa Shell Oil Self Mitakashinkawa
Musashimurayama,70004,Parque Noyamakita Rokudoyama-Parque Ominami-Parque Prince Hills,Museo Kiyama-Museo Hi Im Ya,Estadio Hitachi Kashiwa-Resort Musashimurayama Fantasy Kids-Sanrio Puroland,Karayama-Mangetsu Udon,ENEOS Murayama Service Station-Idemitsu Retail Hanbaitokyo Company Daiminami Filling Station
Musashino,134382,Parque Inokashira-Parque Central Musashino-Parque Nishikubo,Museo Escultural-NTT Musashino R&D Center,Kichijoji Odeon,Café Cat-Ichiran Ramen-Roast Beef Ohno,Esso Sakura-tsutsumi Service Station
Nishitokyo,191927,Parque Toritsu Higashifushimi-Parque Ciudad Tana,Museo de Niños Tanashi Hall-Museo de Niños Hoya Yagisawa Hall,GEO Hibariagaoka-Geo Tanashikitahara,Muten Kura Sushi Hibarigaoka,NishiTokyo Jidosha
Ōme,140433,Parque Ome Railway-Parque Kamanofuchi,Centro Mitake-Museo de Arte Gyokudo,Stadio Ome-Campo Ya Baseball,Tantanmen Sugiyama-Marugame Seimen,ENEOS Self Ome-Esso Obri Station Higashi Ome
Tachikawa,179447,Parque Komorebi Sato-Parque Wakaba-Parque Fujimi Daini,Museo de Historia y Folclor de la ciudad de Tachikawa,Museo de Historia y Folclor de la ciudad de Tachikawa,C Studio-Kamayan’s,Sushiro Tachikawa Saiwaicho-Café Hoshino-Marugame Seimen,ENEOS EneJet Tachikawaminami Filling Station
Tama,145772,Parque Ipponsugi-Parque Takarano-Parque Miwakare,Museo Universitario de Arte Tama-Museo Casa Formadora Tomizawa,Golf Greenwich- ENEOS Self Tama Kaitori Service Station-Club Seata,Sound Bar Dispo-Coat D’azur Tama New Town,Solato-ENEOS Self Tama Kaitori Service Station